Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM
US101-S,4.00,Sonoma,,43.8,511.92,0.52,426639,oppo N of Canyon Rd,2.00,Mainline,loops,No,DT2C3,L2-S-20-101-04380
US101-S,4.00,Sonoma,,R44.5,512.62,0.61,402745,4A5334 loc 128,2.00,Mainline,magnetometers,No,DS876,N2-S-20-101-04450
US101-S,4.00,Sonoma,,R45.02,513.14,0.48,402747,4A5334 loc 129,2.00,Mainline,magnetometers,No,DS877,N2-S-20-101-04502
US101-S,4.00,Sonoma,,R45.45,513.57,0.44,402749,4A5334 loc 130,2.00,Mainline,magnetometers,No,DS878,N2-S-20-101-04545
US101-S,4.00,Sonoma,,R45.89,514.01,1.06,402603,4A5334 loc 33-130A,2.00,Mainline,magnetometers,No,DS328,N2-S-20-101-04589
US101-S,4.00,Sonoma,,R47.57,515.69,1.16,402752,4A5334 loc 133,2.00,Mainline,magnetometers,No,DS881,N2-S-20-101-04757
US101-S,4.00,Sonoma,,R48.2,516.32,0.52,402755,4A5334 loc 135,2.00,Mainline,magnetometers,No,DS883,N2-S-20-101-04820
US101-S,4.00,Sonoma,,R48.6,516.72,0.43,402757,4A5334 loc 136,2.00,Mainline,magnetometers,No,DS884,N2-S-20-101-04860
US101-S,4.00,Sonoma,,R49.05,517.17,0.45,402759,4A5334 loc 137,2.00,Mainline,magnetometers,No,DS885,N2-S-20-101-04905
US101-S,4.00,Sonoma,,R49.5,517.62,0.98,402761,4A5334 loc 138,2.00,Mainline,magnetometers,No,DS886,N2-S-20-101-04950
US101-S,4.00,Sonoma,,R51,519.12,0.83,402766,4A5334 loc 142,2.00,Mainline,magnetometers,No,DS890,N2-S-20-101-05100
US101-S,4.00,Sonoma,Cloverdale,51.16,519.28,0.32,426640,S of Citrus Fair Dr,2.00,Mainline,loops,No,DT2C4,L2-S-20-101-05116
US101-S,4.00,Sonoma,Cloverdale,R51.63,519.75,0.47,402768,4A5334 loc 143,2.00,Mainline,magnetometers,No,DS891,N2-S-20-101-05163
US101-S,4.00,Sonoma,Cloverdale,R52.1,520.22,0.44,402762,4A5334 LOC (139) - 143A,2.00,Mainline,magnetometers,No,DS887,N2-S-20-101-05210
US101-S,4.00,Sonoma,Cloverdale,R52.5,520.62,0.45,402770,4A5334 loc 144,2.00,Mainline,magnetometers,No,DS892,N2-S-20-101-05250
US101-S,4.00,Sonoma,Cloverdale,R53,521.12,0.44,402764,4A5334 loc 141,2.00,Mainline,magnetometers,No,DS889,N2-S-20-101-05300
US101-S,4.00,Sonoma,Cloverdale,53.38,521.50,0.24,426655,S of Hwy 128 off ramp,2.00,Mainline,loops,No,DT2C5,L2-S-20-101-05338
US101-S,4.00,Sonoma,Cloverdale,R53.47,521.59,0.18,406760,N Redwood Hwy off-n-diag,2.00,Mainline,magnetometers,No,DS893,N2-S-20-101-R5347
US101-S,4.00,Sonoma,,R54.4,521.86,0.44,402774,4A5334 loc 146,2.00,Mainline,magnetometers,No,DS894,N2-S-20-101-05440
US101-S,4.00,Sonoma,,R55,522.46,0.59,402776,4A5334 loc 147,2.00,Mainline,magnetometers,No,DS895,N2-S-20-101-05500
US101-S,4.00,Sonoma,,R55.58,523.04,0.50,402778,4A5334 loc 148,2.00,Mainline,magnetometers,No,DS896,N2-S-20-101-05558
US101-S,4.00,Sonoma,,R56,523.46,0.45,402780,4A5334 loc 149,2.00,Mainline,magnetometers,No,DS897,N2-S-20-101-05600
