date,v_observed,k_observed,greenshields,drake,five_pl,s3
10-26,78.0,0.286,66.35941104596405,66.6775789338392,66.66698034733773,66.68287791361513
10-26,71.0,0.286,66.35941104596405,66.6775789338392,66.66698034733773,66.68287791361513
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,65.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,71.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,71.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,71.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,71.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,78.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,60.0,0.366666666666652,66.2681767154444,66.67416824339244,66.66648181945565,66.68287730829785
10-26,71.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,71.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,78.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,71.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,71.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,71.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,78.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,78.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,78.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
10-26,65.0,0.410666666666652,66.21841253516092,66.67195260743495,66.66620334113595,66.68287671893029
