zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length
4401,091-127-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-127_4-SB-VDS,Unknown,FDOT,Radar,27.0709340,-80.2464580,,70,60,
4403,091-126-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-126_8-SB-VDS,Unknown,FDOT,Radar,27.0633290,-80.2430240,,70,60,
4405,091-133-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-133_1-NB-VDS,Unknown,FDOT,Radar,27.1431730,-80.2921410,,70,60,
4408,091-134-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-134_2-SB-VDS,Unknown,FDOT,Radar,27.1567480,-80.3014750,,70,60,
4415,091-131-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-131_6-SB-VDS,Unknown,FDOT,Radar,27.1245460,-80.2799530,,70,60,
4417,091-132-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-132_7-SB-VDS,Unknown,FDOT,Radar,27.1378870,-80.2889930,,70,60,
5563,091-128-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-128_9-SB-VDS,Unknown,FDOT,Radar,27.0916820,-80.2557700,,70,60,
5565,091-133-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-133_8-SB-VDS,Unknown,FDOT,Radar,27.1512110,-80.2977410,,70,60,
5567,091-132-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-132_1-SB-VDS,Unknown,FDOT,Radar,27.1303400,-80.2836010,,70,60,
5569,091-132-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-132_4-SB-VDS,Unknown,FDOT,Radar,27.1342950,-80.2865300,,70,60,
5707,091-134-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-134_5-SB-VDS,Unknown,FDOT,Radar,27.1604710,-80.3040500,,70,60,
5709,091-135-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-135_5-SB-VDS,Unknown,FDOT,Radar,27.1730380,-80.3127240,,70,60,
5713,091-136-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-136_9-SB-VDS,Unknown,FDOT,Radar,27.1903840,-80.3242850,,70,60,
5715,091-137-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-137_2-SB-VDS,Unknown,FDOT,Radar,27.1935900,-80.3260440,,70,60,
5717,091-137-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-137_9-SB-VDS,Unknown,FDOT,Radar,27.2033060,-80.3309120,,70,60,
5719,091-138-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-138_3-SB-VDS,Unknown,FDOT,Radar,27.2098820,-80.3340770,,70,60,
5721,091-138-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-138_9-SB-VDS,Unknown,FDOT,Radar,27.2163210,-80.3371900,,70,60,
5736,091-142-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-142_5-SB-VDS,Unknown,FDOT,Radar,27.2669000,-80.3549460,,70,60,
5741,091-141-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-141_5-SB-VDS,Unknown,FDOT,Radar,27.2531200,-80.3486920,,70,60,
5755,091-145-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-145_4-NB-VDS,Unknown,FDOT,Radar,27.3044380,-80.3727580,,70,60,
5758,091-145-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-145_8-SB-VDS,Unknown,FDOT,Radar,27.3115300,-80.3745670,,70,60,
5764,091-145-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-145_1-NB-VDS,Unknown,FDOT,Radar,27.2993560,-80.3714730,,70,60,
