date,greenshields,drake,five_pl,s3
0907-0908,75.21390271719369,75.21390271719369,54.832994347481986,75.21390271719369
0907-0908,75.21390271719369,75.21390271719369,54.832994347481986,75.21390271719369
0907-0908,75.21390271719369,75.21390271719369,54.832994347481986,75.21390271719369
0907-0908,75.21390271719369,75.21390271719369,54.832994347481986,75.21390271719369
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,74.47717550920598,75.17314262083823,53.99916642392874,75.21388705414887
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
0907-0908,73.74044830121825,75.0509948167446,53.2864212318536,75.2135475529667
