date,v_observed,k_observed,greenshields,drake,five_pl,s3
0831-0901,64.5,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,74.33333333333333,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,71.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,75.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,61.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,52.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,58.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,76.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,62.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,51.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,61.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,70.5,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,75.5,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,75.5,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,68.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,59.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,70.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,57.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,69.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,74.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,74.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,68.33333333333333,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,70.5,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,65.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,52.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,55.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,72.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,77.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,72.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,59.0,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,67.66666666666667,0.0,69.33646995974061,69.33646995974061,69.33646995974061,69.33646995974061
0831-0901,78.5,1.1,69.33646980004268,69.3364699562776,69.33646995974061,69.33646995974061
0831-0901,64.66666666666667,1.1,69.33646980004268,69.3364699562776,69.33646995974061,69.33646995974061
0831-0901,69.66666666666667,1.1,69.33646980004268,69.3364699562776,69.33646995974061,69.33646995974061
0831-0901,70.0,1.1,69.33646980004268,69.3364699562776,69.33646995974061,69.33646995974061
0831-0901,75.0,1.1,69.33646980004268,69.3364699562776,69.33646995974061,69.33646995974061
